"resetColor";"herstel"
"tab";"tab"
"line";"lijn"
"last";"laatste"
"first";"eerste"
"secondLast";"een-na-laatste"
"paddingLeft:";"opvullingLinks:"
"paddingRight:";"opvullingRechts:"
"fill:with:";"vul:met:"
"fromComputer:";"vanComputer:"
"column:";"kolom:"
"❲";"❲"
"❳";"❳"
"replace:length:with:";"vervang:lengte:door:"
"keys";"sleutels"
"values";"waarden"
"entries";"ingangen"
"compare:";"vergelijk:"
"has:";"bevat:"
"copy";"kopieer"
"case:do:";"inGeval:doen:"
"List";"Lijst"
"A-Z";"A-Z"
"a-z";"a-z"
"pi";"pi"
"𝛑";"𝛑"
"•";"•"
"useStandardError";"gebruikFoutKanaal"
"useSysLog";"gebruikSysteemLogboek"
"←";"←"
"drawFrom:length:";"kiesUit:lengte:"
"asciiUpperCase";"asciiHoofdletters"
"asciiLowerCase";"asciiKleineLetters"
"asciiUpperCase1st";"asciiBeginMetHoofdletter"
"asciiLowerCase1st";"asciiBeginMetKleineLetter"
"forbidShell";"verbiedOpdrachtregel"
"forbidFileWrite";"verbiedBestandSchrijven"
"forbidFileRead";"verbiedBestandLezen"
"forbidFork";"verbiedVork"
"forbidInclude";"verbiedInvoegen"
"remainingMessages:";"berichtQuota:"
"findPattern:do:options:";"vindPatroon:doe:opties:"
"containsPattern:";"bevatPatroon:"
"contains:";"bevat:"
"applyTo:and:and:";"toepassen:en:en:"
"<";"<"
">";">"
"?";"?"
"env:";"omgeving:"
"env:val:";"omgeving:is:"
"rollWithSides:";"werpMetZijden:"
"rawRandomNumber";"willekeurigGetal"
"respondTo:and:and:";"reageerOp:en:en:"
">=:";">=:"
"≥";"≥"
"≤";"≤"
"≠";"≠"
"(Map new) ";"(Woordlijst nieuw) "
"put:";"zet:"
" at:";" bij:"
"Array new ";"Reeks nieuw "
"Array ← ";"Reeks ← "
